y,z
-3.600572931500000129e-01,-2.840350788000000071e-01
-3.600572931500000129e-01,-2.710798868000000028e-01
-3.600572931500000129e-01,-2.575268774500000246e-01
-3.600572931500000129e-01,-2.433484644499999960e-01
-3.600572931500000129e-01,-2.285157885999999916e-01
-3.600572931500000129e-01,-2.129986588499999667e-01
-3.600572931500000129e-01,-1.967654910999999951e-01
-3.600572931500000129e-01,-1.797832437999999922e-01
-3.600572931500000129e-01,-1.620173505999999986e-01
-3.600572931500000129e-01,-1.434316502499999868e-01
-3.600572931500000129e-01,-1.239883127499999960e-01
-3.600572931500000129e-01,-1.036477623650000068e-01
-3.600572931500000129e-01,-8.236859723500000730e-02
-3.600572931500000129e-01,-6.010750498500000427e-02
-3.600572931500000129e-01,-3.681917458000000254e-02
-3.600572931500000129e-01,-1.245620411499999934e-02
-3.506101464499999931e-01,-4.985052548999999722e-01
-3.506101464499999931e-01,-4.954467897000000010e-01
-3.506101464499999931e-01,-4.922471916500000266e-01
-3.506101464499999931e-01,-4.888999481000000369e-01
-3.506101464499999931e-01,-4.853982459500000290e-01
-3.506101464499999931e-01,-4.817349577999999743e-01
-3.506101464499999931e-01,-4.779026272000000408e-01
-3.506101464499999931e-01,-4.738934537000000224e-01
-3.506101464499999931e-01,-4.696992768999999623e-01
-3.506101464499999931e-01,-4.653115598000000519e-01
-3.506101464499999931e-01,-4.607213714500000279e-01
-3.506101464499999931e-01,-4.559193688500000063e-01
-3.506101464499999931e-01,-4.508957778500000124e-01
-3.506101464499999931e-01,-4.456403731999999951e-01
-3.506101464499999931e-01,-4.401424578999999504e-01
-3.506101464499999931e-01,-4.343908412999999968e-01
-3.506101464499999931e-01,-4.283738163500000473e-01
-3.506101464499999931e-01,-4.220791357500000007e-01
-3.506101464499999931e-01,-4.154939870999999618e-01
-3.506101464499999931e-01,-4.086049667500000204e-01
-3.506101464499999931e-01,-4.013980525499999952e-01
-3.506101464499999931e-01,-3.938585752500000092e-01
-3.506101464499999931e-01,-3.859711887500000271e-01
-3.506101464499999931e-01,-3.777198388499999893e-01
-3.506101464499999931e-01,-3.690877303499999762e-01
-3.506101464499999931e-01,-3.600572931500000129e-01
-3.506101464499999931e-01,-3.506101464499999931e-01
-3.506101464499999931e-01,-3.407270611000000060e-01
-3.506101464499999931e-01,-3.303879207500000081e-01
-3.506101464499999931e-01,-3.195716807999999798e-01
-3.506101464499999931e-01,-3.082563254000000308e-01
-3.506101464499999931e-01,-2.964188228999999897e-01
-3.506101464499999931e-01,-2.840350788000000071e-01
-3.506101464499999931e-01,-2.710798868000000028e-01
-3.506101464499999931e-01,-2.575268774500000246e-01
-3.506101464499999931e-01,-2.433484644499999960e-01
-3.506101464499999931e-01,-2.285157885999999916e-01
-3.506101464499999931e-01,-2.129986588499999667e-01
-3.506101464499999931e-01,-1.967654910999999951e-01
-3.506101464499999931e-01,-1.797832437999999922e-01
-3.506101464499999931e-01,-1.620173505999999986e-01
-3.506101464499999931e-01,-1.434316502499999868e-01
-3.506101464499999931e-01,-1.239883127499999960e-01
-3.506101464499999931e-01,-1.036477623650000068e-01
-3.506101464499999931e-01,-8.236859723500000730e-02
-3.506101464499999931e-01,-6.010750498500000427e-02
-3.506101464499999931e-01,-3.681917458000000254e-02
-3.506101464499999931e-01,-1.245620411499999934e-02
-3.407270610999999505e-01,-4.985052548999999722e-01
-3.407270610999999505e-01,-4.954467897000000010e-01
-3.407270610999999505e-01,-4.922471916500000266e-01
-3.407270610999999505e-01,-4.888999481000000369e-01
-3.407270610999999505e-01,-4.853982459500000290e-01
-3.407270610999999505e-01,-4.817349577999999743e-01
-3.407270610999999505e-01,-4.779026272000000408e-01
-3.407270610999999505e-01,-4.738934537000000224e-01
-3.407270610999999505e-01,-4.696992768999999623e-01
-3.407270610999999505e-01,-4.653115598000000519e-01
-3.407270610999999505e-01,-4.607213714500000279e-01
-3.407270610999999505e-01,-4.559193688500000063e-01
-3.407270610999999505e-01,-4.508957778500000124e-01
-3.407270610999999505e-01,-4.456403731999999951e-01
-3.407270610999999505e-01,-4.401424578999999504e-01
-3.407270610999999505e-01,-4.343908412999999968e-01
-3.407270610999999505e-01,-4.283738163500000473e-01
-3.407270610999999505e-01,-4.220791357500000007e-01
-3.407270610999999505e-01,-4.154939870999999618e-01
-3.407270610999999505e-01,-4.086049667500000204e-01
-3.407270610999999505e-01,-4.013980525499999952e-01
-3.407270610999999505e-01,-3.938585752500000092e-01
-3.407270610999999505e-01,-3.859711887500000271e-01
-3.407270610999999505e-01,-3.777198388499999893e-01
-3.407270610999999505e-01,-3.690877303499999762e-01
-3.407270610999999505e-01,-3.600572931500000129e-01
-3.407270610999999505e-01,-3.506101464499999931e-01
-3.407270610999999505e-01,-3.407270611000000060e-01
-3.407270610999999505e-01,-3.303879207500000081e-01
-3.407270610999999505e-01,-3.195716807999999798e-01
-3.407270610999999505e-01,-3.082563254000000308e-01
-3.407270610999999505e-01,-2.964188228999999897e-01
-3.407270610999999505e-01,-2.840350788000000071e-01
-3.407270610999999505e-01,-2.710798868000000028e-01
-3.407270610999999505e-01,-2.575268774500000246e-01
-3.407270610999999505e-01,-2.433484644499999960e-01
-3.407270610999999505e-01,-2.285157885999999916e-01
-3.407270610999999505e-01,-2.129986588499999667e-01
-3.407270610999999505e-01,-1.967654910999999951e-01
-3.407270610999999505e-01,-1.797832437999999922e-01
-3.407270610999999505e-01,-1.620173505999999986e-01
-3.407270610999999505e-01,-1.434316502499999868e-01
-3.407270610999999505e-01,-1.239883127499999960e-01
-3.407270610999999505e-01,-1.036477623650000068e-01
-3.407270610999999505e-01,-8.236859723500000730e-02
-3.407270610999999505e-01,-6.010750498500000427e-02
-3.407270610999999505e-01,-3.681917458000000254e-02
-3.407270610999999505e-01,-1.245620411499999934e-02
-3.303879207499999526e-01,-4.985052548999999722e-01
-3.303879207499999526e-01,-4.954467897000000010e-01
-3.303879207499999526e-01,-4.922471916500000266e-01
-3.303879207499999526e-01,-4.888999481000000369e-01
-3.303879207499999526e-01,-4.853982459500000290e-01
-3.303879207499999526e-01,-4.817349577999999743e-01
-3.303879207499999526e-01,-4.779026272000000408e-01
-3.303879207499999526e-01,-4.738934537000000224e-01
-3.303879207499999526e-01,-4.696992768999999623e-01
-3.303879207499999526e-01,-4.653115598000000519e-01
-3.303879207499999526e-01,-4.607213714500000279e-01
-3.303879207499999526e-01,-4.559193688500000063e-01
-3.303879207499999526e-01,-4.508957778500000124e-01
-3.303879207499999526e-01,-4.456403731999999951e-01
-3.303879207499999526e-01,-4.401424578999999504e-01
-3.303879207499999526e-01,-4.343908412999999968e-01
-3.303879207499999526e-01,-4.283738163500000473e-01
-3.303879207499999526e-01,-4.220791357500000007e-01
-3.303879207499999526e-01,-4.154939870999999618e-01
-3.303879207499999526e-01,-4.086049667500000204e-01
-3.303879207499999526e-01,-4.013980525499999952e-01
-3.303879207499999526e-01,-3.938585752500000092e-01
-3.303879207499999526e-01,-3.859711887500000271e-01
-3.303879207499999526e-01,-3.777198388499999893e-01
-3.303879207499999526e-01,-3.690877303499999762e-01
-3.303879207499999526e-01,-3.600572931500000129e-01
-3.303879207499999526e-01,-3.506101464499999931e-01
-3.303879207499999526e-01,-3.407270611000000060e-01
-3.303879207499999526e-01,-3.303879207500000081e-01
-3.303879207499999526e-01,-3.195716807999999798e-01
-3.303879207499999526e-01,-3.082563254000000308e-01
-3.303879207499999526e-01,-2.964188228999999897e-01
-3.303879207499999526e-01,-2.840350788000000071e-01
-3.303879207499999526e-01,-2.710798868000000028e-01
-3.303879207499999526e-01,-2.575268774500000246e-01
-3.303879207499999526e-01,-2.433484644499999960e-01
-3.303879207499999526e-01,-2.285157885999999916e-01
-3.303879207499999526e-01,-2.129986588499999667e-01
-3.303879207499999526e-01,-1.967654910999999951e-01
-3.303879207499999526e-01,-1.797832437999999922e-01
-3.303879207499999526e-01,-1.620173505999999986e-01
-3.303879207499999526e-01,-1.434316502499999868e-01
-3.303879207499999526e-01,-1.239883127499999960e-01
-3.303879207499999526e-01,-1.036477623650000068e-01
-3.303879207499999526e-01,-8.236859723500000730e-02
-3.303879207499999526e-01,-6.010750498500000427e-02
-3.303879207499999526e-01,-3.681917458000000254e-02
-3.303879207499999526e-01,-1.245620411499999934e-02
-3.195716807999999798e-01,-4.985052548999999722e-01
-3.195716807999999798e-01,-4.954467897000000010e-01
-3.195716807999999798e-01,-4.922471916500000266e-01
-3.195716807999999798e-01,-4.888999481000000369e-01
-3.195716807999999798e-01,-4.853982459500000290e-01
-3.195716807999999798e-01,-4.817349577999999743e-01
-3.195716807999999798e-01,-4.779026272000000408e-01
-3.195716807999999798e-01,-4.738934537000000224e-01
-3.195716807999999798e-01,-4.696992768999999623e-01
-3.195716807999999798e-01,-4.653115598000000519e-01
-3.195716807999999798e-01,-4.607213714500000279e-01
-3.195716807999999798e-01,-4.559193688500000063e-01
-3.195716807999999798e-01,-4.508957778500000124e-01
-3.195716807999999798e-01,-4.456403731999999951e-01
-3.195716807999999798e-01,-4.401424578999999504e-01
-3.195716807999999798e-01,-4.343908412999999968e-01
-3.195716807999999798e-01,-4.283738163500000473e-01
-3.195716807999999798e-01,-4.220791357500000007e-01
-3.195716807999999798e-01,-4.154939870999999618e-01
-3.195716807999999798e-01,-4.086049667500000204e-01
-3.195716807999999798e-01,-4.013980525499999952e-01
-3.195716807999999798e-01,-3.938585752500000092e-01
-3.195716807999999798e-01,-3.859711887500000271e-01
-3.195716807999999798e-01,-3.777198388499999893e-01
-3.195716807999999798e-01,-3.690877303499999762e-01
-3.195716807999999798e-01,-3.600572931500000129e-01
-3.195716807999999798e-01,-3.506101464499999931e-01
-3.195716807999999798e-01,-3.407270611000000060e-01
-3.195716807999999798e-01,-3.303879207500000081e-01
-3.195716807999999798e-01,-3.195716807999999798e-01
-3.195716807999999798e-01,-3.082563254000000308e-01
-3.195716807999999798e-01,-2.964188228999999897e-01
-3.195716807999999798e-01,-2.840350788000000071e-01
-3.195716807999999798e-01,-2.710798868000000028e-01
-3.195716807999999798e-01,-2.575268774500000246e-01
-3.195716807999999798e-01,-2.433484644499999960e-01
-3.195716807999999798e-01,-2.285157885999999916e-01
-3.195716807999999798e-01,-2.129986588499999667e-01
-3.195716807999999798e-01,-1.967654910999999951e-01
-3.195716807999999798e-01,-1.797832437999999922e-01
-3.195716807999999798e-01,-1.620173505999999986e-01
-3.195716807999999798e-01,-1.434316502499999868e-01
-3.195716807999999798e-01,-1.239883127499999960e-01
-3.195716807999999798e-01,-1.036477623650000068e-01
-3.195716807999999798e-01,-8.236859723500000730e-02
-3.195716807999999798e-01,-6.010750498500000427e-02
-3.195716807999999798e-01,-3.681917458000000254e-02
-3.195716807999999798e-01,-1.245620411499999934e-02
-3.082563254000000308e-01,-4.985052548999999722e-01
-3.082563254000000308e-01,-4.954467897000000010e-01
-3.082563254000000308e-01,-4.922471916500000266e-01
-3.082563254000000308e-01,-4.888999481000000369e-01
-3.082563254000000308e-01,-4.853982459500000290e-01
-3.082563254000000308e-01,-4.817349577999999743e-01
-3.082563254000000308e-01,-4.779026272000000408e-01
-3.082563254000000308e-01,-4.738934537000000224e-01
-3.082563254000000308e-01,-4.696992768999999623e-01
-3.082563254000000308e-01,-4.653115598000000519e-01
-3.082563254000000308e-01,-4.607213714500000279e-01
-3.082563254000000308e-01,-4.559193688500000063e-01
-3.082563254000000308e-01,-4.508957778500000124e-01
-3.082563254000000308e-01,-4.456403731999999951e-01
-3.082563254000000308e-01,-4.401424578999999504e-01
-3.082563254000000308e-01,-4.343908412999999968e-01
-3.082563254000000308e-01,-4.283738163500000473e-01
-3.082563254000000308e-01,-4.220791357500000007e-01
-3.082563254000000308e-01,-4.154939870999999618e-01
-3.082563254000000308e-01,-4.086049667500000204e-01
-3.082563254000000308e-01,-4.013980525499999952e-01
-3.082563254000000308e-01,-3.938585752500000092e-01
-3.082563254000000308e-01,-3.859711887500000271e-01
-3.082563254000000308e-01,-3.777198388499999893e-01
-3.082563254000000308e-01,-3.690877303499999762e-01
-3.082563254000000308e-01,-3.600572931500000129e-01
-3.082563254000000308e-01,-3.506101464499999931e-01
-3.082563254000000308e-01,-3.407270611000000060e-01
-3.082563254000000308e-01,-3.303879207500000081e-01
-3.082563254000000308e-01,-3.195716807999999798e-01
-3.082563254000000308e-01,-3.082563254000000308e-01
-3.082563254000000308e-01,-2.964188228999999897e-01
-3.082563254000000308e-01,-2.840350788000000071e-01
-3.082563254000000308e-01,-2.710798868000000028e-01
-3.082563254000000308e-01,-2.575268774500000246e-01
-3.082563254000000308e-01,-2.433484644499999960e-01
-3.082563254000000308e-01,-2.285157885999999916e-01
-3.082563254000000308e-01,-2.129986588499999667e-01
-3.082563254000000308e-01,-1.967654910999999951e-01
-3.082563254000000308e-01,-1.797832437999999922e-01
-3.082563254000000308e-01,-1.620173505999999986e-01
-3.082563254000000308e-01,-1.434316502499999868e-01
-3.082563254000000308e-01,-1.239883127499999960e-01
-3.082563254000000308e-01,-1.036477623650000068e-01
-3.082563254000000308e-01,-8.236859723500000730e-02
-3.082563254000000308e-01,-6.010750498500000427e-02
-3.082563254000000308e-01,-3.681917458000000254e-02
-3.082563254000000308e-01,-1.245620411499999934e-02
-2.964188228999999897e-01,-4.985052548999999722e-01
-2.964188228999999897e-01,-4.954467897000000010e-01
-2.964188228999999897e-01,-4.922471916500000266e-01
-2.964188228999999897e-01,-4.888999481000000369e-01
-2.964188228999999897e-01,-4.853982459500000290e-01
-2.964188228999999897e-01,-4.817349577999999743e-01
-2.964188228999999897e-01,-4.779026272000000408e-01
-2.964188228999999897e-01,-4.738934537000000224e-01
-2.964188228999999897e-01,-4.696992768999999623e-01
-2.964188228999999897e-01,-4.653115598000000519e-01
-2.964188228999999897e-01,-4.607213714500000279e-01
-2.964188228999999897e-01,-4.559193688500000063e-01
-2.964188228999999897e-01,-4.508957778500000124e-01
-2.964188228999999897e-01,-4.456403731999999951e-01
-2.964188228999999897e-01,-4.401424578999999504e-01
-2.964188228999999897e-01,-4.343908412999999968e-01
-2.964188228999999897e-01,-4.283738163500000473e-01
-2.964188228999999897e-01,-4.220791357500000007e-01
-2.964188228999999897e-01,-4.154939870999999618e-01
-2.964188228999999897e-01,-4.086049667500000204e-01
-2.964188228999999897e-01,-4.013980525499999952e-01
-2.964188228999999897e-01,-3.938585752500000092e-01
-2.964188228999999897e-01,-3.859711887500000271e-01
-2.964188228999999897e-01,-3.777198388499999893e-01
-2.964188228999999897e-01,-3.690877303499999762e-01
-2.964188228999999897e-01,-3.600572931500000129e-01
-2.964188228999999897e-01,-3.506101464499999931e-01
-2.964188228999999897e-01,-3.407270611000000060e-01
-2.964188228999999897e-01,-3.303879207500000081e-01
-2.964188228999999897e-01,-3.195716807999999798e-01
-2.964188228999999897e-01,-3.082563254000000308e-01
-2.964188228999999897e-01,-2.964188228999999897e-01
-2.964188228999999897e-01,-2.840350788000000071e-01
-2.964188228999999897e-01,-2.710798868000000028e-01
-2.964188228999999897e-01,-2.575268774500000246e-01
-2.964188228999999897e-01,-2.433484644499999960e-01
-2.964188228999999897e-01,-2.285157885999999916e-01
-2.964188228999999897e-01,-2.129986588499999667e-01
-2.964188228999999897e-01,-1.967654910999999951e-01
-2.964188228999999897e-01,-1.797832437999999922e-01
-2.964188228999999897e-01,-1.620173505999999986e-01
-2.964188228999999897e-01,-1.434316502499999868e-01
-2.964188228999999897e-01,-1.239883127499999960e-01
-2.964188228999999897e-01,-1.036477623650000068e-01
-2.964188228999999897e-01,-8.236859723500000730e-02
-2.964188228999999897e-01,-6.010750498500000427e-02
-2.964188228999999897e-01,-3.681917458000000254e-02
-2.964188228999999897e-01,-1.245620411499999934e-02
-2.840350788000000071e-01,-4.985052548999999722e-01
-2.840350788000000071e-01,-4.954467897000000010e-01
-2.840350788000000071e-01,-4.922471916500000266e-01
-2.840350788000000071e-01,-4.888999481000000369e-01
-2.840350788000000071e-01,-4.853982459500000290e-01
-2.840350788000000071e-01,-4.817349577999999743e-01
-2.840350788000000071e-01,-4.779026272000000408e-01
-2.840350788000000071e-01,-4.738934537000000224e-01
-2.840350788000000071e-01,-4.696992768999999623e-01
-2.840350788000000071e-01,-4.653115598000000519e-01
-2.840350788000000071e-01,-4.607213714500000279e-01
-2.840350788000000071e-01,-4.559193688500000063e-01
-2.840350788000000071e-01,-4.508957778500000124e-01
-2.840350788000000071e-01,-4.456403731999999951e-01
-2.840350788000000071e-01,-4.401424578999999504e-01
-2.840350788000000071e-01,-4.343908412999999968e-01
-2.840350788000000071e-01,-4.283738163500000473e-01
-2.840350788000000071e-01,-4.220791357500000007e-01
-2.840350788000000071e-01,-4.154939870999999618e-01
-2.840350788000000071e-01,-4.086049667500000204e-01
-2.840350788000000071e-01,-4.013980525499999952e-01
-2.840350788000000071e-01,-3.938585752500000092e-01
-2.840350788000000071e-01,-3.859711887500000271e-01
-2.840350788000000071e-01,-3.777198388499999893e-01
